,drug,class
757,pubchem.compound:2763,[13]
758,pubchem.compound:5282138,[11]
759,pubchem.compound:124007,[]
760,pubchem.compound:104895,[]
761,pubchem.compound:3086599,[]
762,pubchem.compound:5311042,[]
763,pubchem.compound:132252,[]
764,pubchem.compound:2566,[]
765,pubchem.compound:5287620,[]
766,pubchem.compound:5329255,[]
767,pubchem.compound:5353454,[12]
768,pubchem.compound:2415,[]
769,pubchem.compound:5280373,[]
770,pubchem.compound:2293,[]
771,pubchem.compound:15723,[]
772,pubchem.compound:3641059,[]
773,pubchem.compound:5283393,[]
774,pubchem.compound:7059445,[]
775,pubchem.compound:6604822,[]
776,pubchem.compound:2049,[]
777,pubchem.compound:5328760,[]
778,pubchem.compound:5328771,[]
779,pubchem.compound:27812,[2]
780,pubchem.compound:4839,[]
781,pubchem.compound:107926,[8]
782,pubchem.compound:60943,[]
783,pubchem.compound:446541,[]
784,pubchem.compound:57030,[2]
785,pubchem.compound:56599306,[]
786,pubchem.compound:135565082,[2]
787,pubchem.compound:11219835,[]
788,pubchem.compound:91471,[]
789,pubchem.compound:15387,[8]
790,pubchem.compound:131682,[8]
791,pubchem.compound:5281078,[]
792,pubchem.compound:5488548,[13]
793,pubchem.compound:25171648,[2]
794,pubchem.compound:133017,[]
795,pubchem.compound:196968,[8]
796,pubchem.compound:24812758,[]
797,pubchem.compound:9841834,[11]
798,pubchem.compound:56959,[11]
799,pubchem.compound:3343,[12]
800,pubchem.compound:23662025,[12]
801,pubchem.compound:6918670,[]
802,pubchem.compound:405012,[2]
803,pubchem.compound:114750,[8]
804,pubchem.compound:59227,[8]
805,pubchem.compound:11319053,[8]
806,pubchem.compound:9907323,[8]
807,pubchem.compound:4848,[13]
808,pubchem.compound:6918554,[12]
809,pubchem.compound:4993,[]
810,pubchem.compound:128919,[]
811,pubchem.compound:21109,[11]
812,pubchem.compound:59174488,[2]
813,pubchem.compound:9808022,[11]
814,pubchem.compound:21071390,[8]
815,pubchem.compound:3547,[]
816,pubchem.compound:1150897,[]
817,pubchem.compound:636403,[]
818,pubchem.compound:122327,[13]
819,pubchem.compound:64982,[]
820,pubchem.compound:10294813,[2]
821,pubchem.compound:9853053,[13]
822,pubchem.compound:68848,[]
823,pubchem.compound:164522,[12]
824,pubchem.compound:72303,[]
825,pubchem.compound:23190,[15]
826,pubchem.compound:9810929,[2]
827,pubchem.compound:130881,[11]
828,pubchem.compound:219024,[]
829,pubchem.compound:10275777,[]
830,pubchem.compound:3969,[12]
831,pubchem.compound:3752,[2]
832,pubchem.compound:5081913,[14]
833,pubchem.compound:35375,[15]
834,pubchem.compound:71721648,[2]
835,pubchem.compound:60910,[]
